status,game,name,set,rarity,price,qty,url,number
active,mtg,Example MTG Card,Bloomburrow,Rare,$3.99,1,https://www.tcgplayer.com/sellers/Tyrant-TCG-Limited/edf83467/feedback,
active,mtg,Example MTG Card 2,Duskmourn,Mythic Rare,$12.99,1,https://www.tcgplayer.com/sellers/Tyrant-TCG-Limited/edf83467/feedback,
active,pkm,Ultra Ball,Brilliant Stars,Secret Rare,$21.00,1,https://www.tcgplayer.com/product/263907/pokemon-swsh09-brilliant-stars-pokemon?page=1&Language=English,186
active,pkm,Flareon,Brilliant Stars Trainer Gallery,Holo Rare,$18.00,1,https://www.tcgplayer.com/product/264210/pokemon-swsh09-brilliant-stars-trainer-gallery-pokemon?Language=English&page=1,
active,pkm,Charizard V,Brilliant Stars,Ultra Rare,$6.00,1,https://www.tcgplayer.com/product/257299/pokemon-swsh09-brilliant-stars-pokemon?Language=English&page=1,
active,pkm,Dedenne,Brilliant Stars Trainer Gallery,Holo Rare,$6.00,1,https://www.tcgplayer.com/product/264215/pokemon-swsh09-brilliant-stars-trainer-gallery-pokemon?Language=English&page=1,
active,pkm,Rapid Strike Urshifu V,Brilliant Stars Trainer Gallery,Ultra Rare,$5.50,1,https://www.tcgplayer.com/product/264226/pokemon-swsh09-brilliant-stars-trainer-gallery-pokemon?Language=English&page=1,
active,pkm,Gardevoir,Astral Radiance Trainer Gallery,Holo Rare,$6.75,1,https://www.tcgplayer.com/product/272476/pokemon-swsh10-astral-radiance-trainer-gallery-pokemon?page=1&Language=English,
active,pkm,Hoothoot,Astral Radiance Trainer Gallery,Holo Rare,$4.00,1,https://www.tcgplayer.com/product/272483/pokemon-swsh10-astral-radiance-trainer-gallery-pokemon?Language=English&page=1,
active,ygo,Armed Dragon Thunder LV10,Blazing Vortex,Secret Rare,$2.15,1,https://www.tcgplayer.com/product/231314/yugioh-blazing-vortex-yugioh?page=1&Language=English,
active,ygo,Blaze Cannon,Legendary Duelists: Rage of Ra,Ultra Rare,$3.44,1,https://www.tcgplayer.com/product/222775/yugioh-legendary-duelists-rage-of-ra-yugioh?page=1&Language=English,
active,ygo,Clockwork Night,Battles of Legend: Crystal Revenge,Secret Rare,$2.98,1,https://www.tcgplayer.com/product/453531/yugioh-battles-of-legend-crystal-revenge-yugioh?page=1&Language=English,
active,ygo,Evil HERO Malicious Bane,Brothers of Legend,Secret Rare,$4.22,1,https://www.tcgplayer.com/product/256360/yugioh-brothers-of-legend-yugioh?Language=English&page=1,
active,ygo,Galaxy-Eyes Cipher X Dragon,Ghosts From the Past,Ultra Rare,$4.66,3,https://www.tcgplayer.com/product/235719/yugioh-ghosts-from-the-past-yugioh?Language=English&page=1,
active,ygo,Gladiator Beast Domitianus,Chaos Impact,Super Rare,$2.07,1,https://www.tcgplayer.com/product/200839/yugioh-chaos-impact-yugioh?Language=English&page=1,
active,ygo,Graverobber,Pharaoh's Servant (25th Anniversary Edition),Super Rare,$3.69,1,https://www.tcgplayer.com/product/486611/yugioh-pharaohs-servant-25th-anniversary-edition-yugioh?Language=English&page=1,
active,ygo,Harpie's Feather Duster,Egyptian God Deck: Obelisk the Tormentor,Super Rare,$2.67,1,https://www.tcgplayer.com/product/241996/yugioh-egyptian-god-deck-obelisk-the-tormentor-yugioh?Language=English&page=1,
active,ygo,Harpie's Pet Dragon - Fearsome Fire Blast,Legendary Duelists: Season 3,Secret Rare,$2.32,1,https://www.tcgplayer.com/product/276131/yugioh-legendary-duelists-season-3-yugioh?Language=English&page=1,
active,ygo,Linkross,Eternity Code,Ultra Rare,$2.14,1,https://www.tcgplayer.com/product/213368/yugioh-eternity-code-yugioh?Language=English&page=1,
active,ygo,Pot of Acquisitiveness,The Pot Collection,Ultra Rare,$11.25,1,https://www.tcgplayer.com/product/488167/yugioh-the-pot-collection-yugioh?Language=English&page=1,
active,ygo,Water Dragon,Dark Revelation Volume 4,Rare,$4.25,1,https://www.tcgplayer.com/product/80684/yugioh-dark-revelation-volume-4-yugioh?Language=English&page=1,
active,fab,Example FAB Card,Rosetta,Majestic,$7.99,1,https://www.tcgplayer.com/sellers/Tyrant-TCG-Limited/edf83467/feedback,
active,fab,Example FAB Card 2,Part the Mistveil,Legendary,$24.99,1,https://www.tcgplayer.com/sellers/Tyrant-TCG-Limited/edf83467/feedback,
